Batch Size,Trial #,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,815.588338136673,808.616540193557,29128.1549334526,829.45801281929
512,1,1,2,803.626389980316,797.834939718246,28700.942499297,829.457941532135
512,1,1,3,800.767637729644,794.788855075836,28598.8442046301,829.457777500152
512,1,2,1,761.641006946563,754.970711946487,27201.4645338058,781.30950140953
512,1,2,2,761.081468820571,755.3279235363,27181.4810293061,781.309777021408
512,1,2,3,762.661460399627,755.49192070961,27237.9092999867,781.309220314025
512,2,1,1,767.011735200882,760.37225317955,27393.2762571743,783.714136600494
512,2,1,2,767.914821147918,762.012974262237,27425.5293267113,783.714303731918
512,2,1,3,764.43458199501,758.300928354263,27301.2350712503,783.713520765304
512,2,2,1,761.915732145309,755.372718334198,27211.2761480467,776.773119449615
512,2,2,2,760.425105810165,754.533287525177,27158.0394932201,776.773072957992
512,2,2,3,758.52331662178,752.602711677551,27090.1184507778,776.773405790329
512,3,1,1,774.060484409332,767.513995170593,27645.0173003332,788.55746269226
512,3,1,2,768.338010787963,762.516126394271,27440.6432424272,788.557006835937
512,3,1,3,772.291596412658,765.640476703643,27581.8427290235,788.557081460952
512,3,2,1,770.813799858093,764.273772716522,27529.0642806461,784.285499095916
512,3,2,2,761.541653633117,755.727057218551,27197.9162011827,784.285801410675
512,3,2,3,770.640491008758,762.956714630127,27522.8746788842,784.285583257675
1024,1,1,1,673.656908273696,666.25507736206,48118.3505909783,697.89633154869
1024,1,1,2,688.005232810974,680.862278461456,49143.2309150695,697.896355867385
1024,1,1,3,675.258355617523,668.687609434127,48232.7396869659,697.896483659744
1024,1,2,1,672.436857461929,662.988454341888,47842.9127931594,684.790070533752
1024,1,2,2,672.436857461929,665.044767856597,48031.2041044235,684.790021419525
1024,1,2,3,670.791535854339,664.651665687561,48232.7396869659,684.790014028549
1024,2,1,1,762.242528676986,756.18937253952,54445.894905499,777.544034004211
1024,2,1,2,759.914593219757,753.565336704254,54279.6138014112,777.544529914856
1024,2,1,3,761.050933361053,755.31886768341,54360.7809543609,777.54446029663
1024,2,2,1,774.439826488494,768.687573909759,55317.1304634639,791.544315576553
1024,2,2,2,780.675656557083,774.540378093719,55762.5468969345,791.544039726257
1024,2,2,3,765.836131811142,760.22824883461,54702.580843653,791.544009685516
1024,3,1,1,786.791724920272,781.154781103134,56199.4089228766,803.944170951843
1024,3,1,2,793.943991661071,787.870218992233,56710.2851186479,803.943763017654
1024,3,1,3,792.638078451156,786.762399673461,56617.005603654,803.943775177002
1024,3,2,1,716.232740163803,710.632061004638,51159.4814402716,733.526690483093
1024,3,2,2,720.975743055343,715.00738620758,51498.2673610959,733.525611400604
1024,3,2,3,718.441235303878,712.728906154632,51317.2310931342,733.525964021682
